,Account,Post,Tag,Likes,Comments
19,m_adin.n,"HGPG 1/144 Petit'gguy Graham Aker White
.
.
.
.
.
Iseng"" beli jadinya lumayan jugaaa...
.
.
.
.
.
#gunpla #gunplabuilder #hgpg #petitgguy #gunplaindonesia #gundamstagram #gundaminfo #gundam00 #grahamaker","['gunpla', 'gunplabuilder', 'hgpg', 'petitgguy', 'gunplaindonesia', 'gundamstagram', 'gundaminfo', 'gundam00', 'grahamaker']",71,['Y dah di lyke']
20,m_adin.n,"HG 1/144 GN - 002 Gundam Dynames
#gundam #gunpla #hggunpla #highgrade #gundam00 #gn002 #gundamdynames #gunplabuilders #gundamindonesia","['gundam', 'gunpla', 'hggunpla', 'highgrade', 'gundam00', 'gn002', 'gundamdynames', 'gunplabuilders', 'gundamindonesia']",73,"['Why not exia?', 'Ssss gridman lah']"
21,m_adin.n,"HGCE 1/144 ZGMF - X10A Freedom Gundam
.
.
.
Joint di pergelangan tangan kendor, klo make rifle sama shield jadi letoy, yasudah pake beam saber saja.
.
.
.
.
.
#gundam #gundamseed #gunpla #hggundam #hgce #zgmfx10a #freedomgundam #gundamindonesia","['gundam', 'gundamseed', 'gunpla', 'hggundam', 'hgce', 'zgmfx10a', 'freedomgundam', 'gundamindonesia']",74,"['Harga berapa kak?', 'Nice build! Keep up the awesome work and enjoy the hobby ']"
22,m_adin.n,,[],87,[]
23,m_adin.n,,[],83,"['Yaalord dinn lu beneran kesini?? :(', 'Iya']"
24,m_adin.n,,[],59,[]
25,m_adin.n,When you yoyoing,[],36,['...']
26,m_adin.n,Foto sama Bocah :v,[],47,"['Kok muka lu tuaan ya din ', 'Tua bet brader', '@shntrzz._ @firdausdicko ini fase menjadi tampan, maklumin aja', 'Lucuan bocah nya kak wkwkw', '@sakiladea330 lucunya ke dia, gantengnya ke gua', 'Gak siii  @muhammad_adin.n', 'Yeee, gk percaya @sakiladea330', 'Gak lah wkwk @muhammad_adin.n']"
27,m_adin.n,,[],50,"['Follback mang din', '@abriel_armstron sudah bro']"
28,m_adin.n,,[],44,['super LOVE! ']
29,m_adin.n,,[],39,[]
30,m_adin.n,,[],57,[]
31,m_adin.n,,[],48,['Itu muka nya kak adin tolong dikondisikan wkwkwk']
32,m_adin.n,,[],16,[]
33,m_adin.n,CFD,[],33,"['widiihh.. foto nya keren kak, tp followersnya dikit yah? beli di@TF.ID kak, recommended!', 'Mantaps Jiwa ini >_< beli followers di@TF.ID langsung terkenal mendadak aku hahaha.. Good']"
34,m_adin.n,,[],31,"['Knp kalian ga ngajak2:v', 'Minggu depan ayo', 'Asekk @muhammad_adin.n', 'Sebelah lu diki', '@moch_zhafran bukan temen gua', '@muhammad_adin.n temen gua di sklh itu bukan diki', '@herculeshutauruk yoilah']"
35,privat.in_id,"Yuk, Daftar jadi tutor di privat.in! GRATIS!!",[],12,[]
36,privat.in_id,nihh cara untuk kamu daftar sebagai tutor ataupun murid di privat.in! gampang banget kann? yuk klik link nya di profile kita!,[],6,[]
37,privat.in_id,"buat kamu yang cari guru privat, gampang banget nih tinggal klik link nya profile kita",[],5,[]
38,privat.in_id,"[CARI GURU PRIVAT? PRIVAT.IN AJA!] Kalian yang sedang berada di bangku sekolah, suka bingung gak sih sama pelajaran-pelajaran yang ada di sekolah?

Pengen punya guru privat tapi bingung nyarinya?

Wah, sekarang gak perlu ribet!

Kami, PRIVAT.IN hadir sebagai solusi! PRIVAT.IN menyediakan guru-guru privat untuk jenjang pendidikan SD-SMP-SMA di berbagai bidang pelajaran  
 .
More info:
 : 085215837197

PRIVAT.IN
.
.
#guruprivat #cariguruprivat #cariguru","['guruprivat', 'cariguruprivat', 'cariguru']",9,[]
39,privat.in_id,"[CARI GURU PRIVAT? PRIVAT.IN AJA!] Kalian yang sedang berada di bangku sekolah, suka bingung gak sih sama pelajaran-pelajaran yang ada di sekolah?

Pengen punya guru privat tapi bingung nyarinya?

Wah, sekarang gak perlu ribet!

Kami, PRIVAT.IN hadir sebagai solusi! PRIVAT.IN menyediakan guru-guru privat untuk jenjang pendidikan SD-SMP-SMA di berbagai bidang pelajaran  
 .
More info:
 : 085215837197

PRIVAT.IN
.
.
#guruprivat #cariguruprivat #cariguru","['guruprivat', 'cariguruprivat', 'cariguru']",4,[]
40,privat.in_id,"[CARI GURU PRIVAT? PRIVAT.IN AJA!] Kalian yang sedang berada di bangku sekolah, suka bingung gak sih sama pelajaran-pelajaran yang ada di sekolah?

Pengen punya guru privat tapi bingung nyarinya?

Wah, sekarang gak perlu ribet!

Kami, PRIVAT.IN hadir sebagai solusi! PRIVAT.IN menyediakan guru-guru privat untuk jenjang pendidikan SD-SMP-SMA di berbagai bidang pelajaran  
 .
More info:
 : 085215837197

PRIVAT.IN
.
.
#guruprivat #cariguruprivat #cariguru","['guruprivat', 'cariguruprivat', 'cariguru']",4,[]
41,dlnzwy,     ,[],84,"['Nice', 'very nice post', '   ', '    ', ' ', '      ', '   ']"
42,dlnzwy,,[],54,"['  ', '   ', '!!!', '               .']"
43,dlnzwy, ,[],64,"['       ', '', '', '', '   ', '   ', '  ', ' !']"
44,dlnzwy,,[],85,"['    .  ', ' ', '', '', '   ', '', '   ', '    .   .       .  ', '   ', '', '  ', '   ', '', 'like', '', '   ', '', 'nice pic', '    ', 'www.lahijdasht.com', '         ', '', '   ', '  ', '    ', ' ', '   ']"
45,dlnzwy, ,[],67,"['      ', '  ', '  ', '', '  ', '  ', '       ', '   ', '  ', ' ', '  50.000', '   ', '']"
46,dlnzwy,,[],71,"['', ' ', ' ', '', '  ', '', '  ', ' ', '     ']"
47,dlnzwy,,[],51,['  ']
48,ripkibaihaki,Dokumentasi ,[],89,"['@ripkibaihaki eh ada akuu:v', '@ripkibaihaki first like nih', 'Oke mantap']"
49,ripkibaihaki,Sejak kapan rasa tersurat,[],110,"['Sejak virgoun ciptain lagu surat cinta untuk starla', 'Mana mungkin 2rb pergiga']"
50,ripkibaihaki,"""Eneng jangan cemberut aja
Aa mau bersenang-senang
Bersama agroteknologi
Uin sunan gunung Djati

Aa jangan cemberut aja
Eneng mau bersenang-senang
Bersama agroteknologi
UIN sunan gunung Djati

Turun kelapangan bersama teman-teman
Agroteknologi jurusan nomer hiji
Kelompok hiji kelompok paling oke""
_________________________

Hallo! Perkenalkan kami dari kelompok 1 LEPIDOPTERA, yang beranggotakan:

@melan_f25
@nurulazhh
@ripkibaihaki
@nashirmn
@dhiyaaulhq
@gustirakhaaaa
@maymunnawawi
@sucinuraeni75

Siap berjuang dan mengikuti rangkaian acara #green2019
______________________
#kamimuda
#kamisiap
#untukpertanianIndonesia 
#agroteknologi
#himagiuinbdg
#Green2019

@himagiuinbdg @greenagroteknologi2019","['green2019', 'kamimuda', 'kamisiap', 'untukpertanianindonesia', 'agroteknologi', 'himagiuinbdg', 'green2019']",164,"['@ripkibaihaki  mahiwal ', 'GEMASH @dhiyaaulhq', 'si iki mah atoh dititah joged', 'Waduhh ', '', '', 'Goyaaaaanggg jangan kasih kendor', 'Suaranya ripki kenapa misah yaaa sendiri ', 'edan urg te ditag', '', 'Sok bantu like', '@widbenci991 @dellagustin292  kang @alfianto_iwan  @ma_maarif_peundeuy', '', 'Haadeeuuuuhh molen', 'Be like @ripkibaihaki ']"
51,ripkibaihaki,"Terkadang suatu perjalanan tidak kita rencanakan
#stonegarden
#bandungexplore","['stonegarden', 'bandungexplore']",52,['mantabs']
52,ripkibaihaki,Jl.asia Afrika ~ Braga,[],66,['Mantap mang ']
53,ripkibaihaki,,[],68,[]
54,ripkibaihaki,,[],75,[]
55,ripkibaihaki,"Mereka sedang menghiburku

Dikala cakrawala terbakar. 
Yang membuat gradasi jingga dengan hitam saling menyatu.
ombak yang berderu, memiliki irama yang syahdu.
.
.
#sunsets #sun #garuthits  #bandunghits #galerigarut #bungbulang #beach #journey
@ieugarut_ @penikmat.garut @berkelanagarut @galaxys4_7 @galeri_bungbulang @garutulin_ @pangulinan_garut @infogarut @wisata_garut @garutngahiji @galerigarut_ @sman7garut @osis_sman7garut","['sunsets', 'sun', 'garuthits', 'bandunghits', 'galerigarut', 'bungbulang', 'beach', 'journey']",61,"['jingga', '', '  direct']"
56,ripkibaihaki,,[],43,[]
57,ripkibaihaki,"Tanpa gesekan maka suatu benda tidak akan bergerak itu analoginya. Pasti kita temui masalah, disaat kita bergerak. Pilihannya mau tetap diam atau bergerak! Dan ingat bumi ini tidak statis, kita diciptakan sebagai wakil Tuhan di muka bumi ini
@berkelanagarut",[],64,[]
58,ripkibaihaki,Di antara terang sebelum redup ada jingga yang pelita,[],60,[]
59,ripkibaihaki,Pernah gak nunggu sunrise dari subuh tapi tertutup oleh kabut?,[],50,['mauuu juga kayanya seruuu bgt']
60,ripkibaihaki,Efek berat ,[],53,[]
61,areshafah15_,moi luv my zits,[],186,['']
62,areshafah15_,"gaperlu digeser, itu cuma pict tahun lalu buat pendaftaran masuk kuliah wkwk. ",[],199,"['Pendaftaran KUA? Hmm ', 'Di tunggu undgannya  @areshafah15_', 'bakalan dluan ini mah wkwk', 'mantuul']"
63,areshafah15_,"Throw (setelah udah lulus, malah pengen lagi lol).",[],219,['']
64,areshafah15_,"Thanks u & see u, later",[],184,"['', '', '', 'See you', 'See you ', 'wah kok sedih ya bacanya.........', 'Haduhhhh pelanggan bisa ilang atu nih', 'See youu']"
65,areshafah15_,,[],150,[]
66,areshafah15_,"Happy graduation
Ipa 2 adalah keluarga, dan keluarga tidak akan pernah meninggalkan apalagi melupakan. Slmt melanjutkan hidup, sukses selalu",[],167,[]
67,areshafah15_,"I don't need a perfect one. I just need someone who can make me feel that i'm the only one.
.
@asyrafkawaii ",[],138,[]
68,areshafah15_,"a man who never stops to make me always happy.
1/3",[],134,[]
69,areshafah15_,"Dari umur 16th, trs 17th, sampe skrg 18th masih dengan curut2 yang sama sekarang udah pada besar ya, umur juga makin besar angkanya semoga hubungan persahabatan ini berkepanjangan sampe kapanpun ya ilvusm DTS ku, trimakasii untuk suprise2 jahatnya",[],142,[]
70,areshafah15_,"Growin old', thx god 18 y.o
Thx bae, ilvsm",[],181,"['@areshafah15_ 81??', 'Ih 18 sue mana kadoooo mba @ditaaaryanti', 'Saflok ama aisyah @areshafah15_']"
71,areshafah15_,Lega,[],158,[]
72,areshafah15_,Be happiest,[],167,[]
73,areshafah15_,"hold my hand, don't ever lose it",[],169,[]
74,areshafah15_,"2/2
And I think I'm gonna love you for a long long long time. could be, there is no end.",[],147,[]
75,areshafah15_,"1/2
And I think I'm gonna love you for a long long long time. can be, there is no end.",[],167,[]
76,areshafah15_,walking together to the end.,[],174,[]
77,areshafah15_,,[],158,[]
78,fathurri,Malem : @priawidi,[],38,[]
79,fathurri,Terik : @irfzid,[],44,['@falfisme saingan baru nih qih']
80,fathurri,Penuh sesak : @irfzid,[],35,['PGC #&&#-#&#@']
81,fathurri,Dasar manusia,[],86,"['Kamu apa ? Dugong?', 'Beruang laut ^^', 'Babi duyung lepas']"
82,fathurri,Holiyay,[],90,"['Asix bgt keknya', 'Foto ke-4 mengejutkan ']"
83,fathurri,Met lebaran edisi prodi,[],70,[]
84,fathurri,Bhinneka Tunggal Ilkom,[],86,"['Boleh jd mottonyaa', 'Bisaan']"
85,fathurri,/mahasiswa/,[],71,"['Iye tur', 'Thur, jaket lu yang kekecilan atau lu yang gedean Thur? :v']"
86,fathurri,"Bukan harta yang mendatangkan kebahagiaan, tetapi rasa syukur yang membuat semuanya merasa bahagia.",[],81,"['Yauda buat gue aja harta lu', 'UNTUQ NEGRI TERCYNTA', 'Tumben lu punya temen', 'Thur, kok jarinya pada nunjuk keatas, emang ada apaan diatas Thur? ']"
87,septilsnna,shortbgtniii,[],44,"['Ada noise', '']"
88,septilsnna,Udah mirip kura-kura belum? ,[],78,"['Lambannnyee wkwk', 'Masa mirip kura kura :(']"
89,septilsnna,"Haruskah kita menanti hujan untuk menyaksikan keindahan pelangi? Jika harus, akankah pelangi itu benar benar datang setelah hujan berakhir? Jika benar, mari kita duduk dan menunggunya bersama-sama.",[],94,['Casing hapenya kaka sobat senja :v']
90,septilsnna,Im groot,[],104,['Charlie']
91,septilsnna,under construction,[],97,[]
92,septilsnna,20 y.o. and still counting ,[],144,"['HBD septiiii', 'HBD WOOOYYYYY', 'Selamat ulang tahun septi', 'Wihhhh kasep ultah, barakallah', 'HBD Seppp ', 'HBD lusii', 'Hepibidiiii sepptiiii wyatb&gbu yakkkk', 'Hbd septiiii..... ', 'Hbd seeeeppp', 'Happy birthday septiii! kurang2in nyolotnya ya wkwk', 'Pibesdey!', 'selamat ulangtahun', 'Selamat ulang tahunnnnn', 'Barakallah fii umrik septiii ']"
93,septilsnna,Sunday ,[],79,[]
94,septilsnna,"
.
.
.
.
.
 : @dhiyasalmas17",[],177,[]
95,septilsnna,FK,[],68,[]
96,septilsnna,Chocolate or coffee?,[],70,[]
97,septilsnna,Ketika kita terbang tinggi apakah kita tetap rendah?,[],75,['Kita?']
98,septilsnna,Milo-milo apa yang bubuk?,[],76,"['Gua kira tanah kuburan lu minum sep', 'MiLo gue end', 'Mi lop u', 'milonkolis']"
99,septilsnna,Lebih indah dari senja bukan?,[],102,['Beuh']
100,septilsnna,Apa itu liburan?,[],132,"['Mitos', 'Waktu yg muncul disaat tidak diperlukan', 'Setelah 30 hari berpuasa']"
101,septilsnna,Supermother ,[],102,['']
102,septilsnna,"Andai kesininya bertiga, duh bakalan seneng pake banget ehehehe",[],178,"['Apanya', 'Cantik dong', 'Cantik dong', 'Jadi ke borobudur dia wkwkw', 'Mbi gaikut mbi? Wkwk', '@arimbimn', 'Cantij bangetttt ']"
103,septilsnna,Hiyaaplod jugaaa ,[],129,[]
104,septilsnna,These last few weeks have been exhausting and I'm lost in my imagination ,[],102,[]
105,septilsnna,"Kamunya sibuk, akunya capek ingetin kamu, yaudahlah kita udahan aja. Oh iya, salam buat ""teman bahagia"" kamu yang baru yaa ",[],97,"['Aduhh mantul', 'Uwaaah', 'COVER LEMONADE DONGG', 'Captionnya pen nangisssss']"
106,septilsnna,"Coba tanya hatimu sekali lagi, sebelum engkau benar-benar pergi. Selamat datang April ",[],57,"['Kok kek lagu devano tp beda lirik ya yg judulnya ini aku', 'Mantep nih digitarin']"
107,septilsnna,Brb ,[],105,['']
108,septilsnna,Cinta luar biasa.,[],127,"['Waduh luar biasa banget', 'Cie di uplod', '', 'uh she up ma beloved idol', 'Waaaa', 'Keren .... ', '']"
109,septilsnna,"""Jika mereka bertanya padaku apakah aku menyesal, jawabanku adalah 'tidak'. Berhasil ataupun gagal, aku bangga hidup di atas keputusan yang kubuat sendiri"" - Fiersa Besari, garis waktu.
.
.
.
.
.
.
.
.
.
(Gaada tulisan lagi ternyata)",[],170,"['Gw ngakak sama dua foto terakhir dong :"")', 'Yg terakhir itu loh wkwkwkw', 'Woe', ':v', 'curanggg aplot duluann :(', 'poto terakhir pengen w gelindingin', 'Minta foto ku dongg']"
110,septilsnna,"
.
.
.
 : @mauraputri",[],138,[]
111,septilsnna,Luvluv [ taken by : @mauraputri ],[],139,['Like']
112,septilsnna,,[],138,[]
113,septilsnna,Demi kesejahteraan feeds instagram ,[],64,[]
114,septilsnna,"Awalnya saya coba-coba
Tapi kok lama-kelamaan asik
Yaudah saya jalani dulu beberapa bulan
Eh malah ketagihan
Akhirnya makin akrab deh ",[],153,"['kangen septii, gimana dong?']"
115,septilsnna,"Pergi ke Malang menonton wayang
Kayu jati jumlahnya seribu
Kalau memang abang tak sayang
Mengapa hati tetap merindu?
.
.
.
Jangan di swipe, tingkah mahasiswa ketika dosen meminta kelas pengganti di hari Sabtu
.
.
.
 : @atylestari",[],129,[]
116,septilsnna,"Jalan-jalan lihat panorama
Pakai kemeja kancingnya delapan
Kita temenan kan udah lama
Cuma deket aja, jadiannya kapan?
.
.
.
Jangan di swipe, tingkah mahasiswa yang berusaha kabur kelas pengganti bikin geleng-geleng kepala
.
.
.
 : @hanarstiana",[],159,[]
117,septilsnna,"You dont choose your family. They are Gods gift to you, as you are to them - Desmond Tutu
.
.
.
Hanya saat bersama kalian, nyokap gue mengizinkan gue pulang sampai larut malam - Septi Lusianna
.
.
.
Note : di foto ini semuanya lucu hehe",[],126,['captionnya']
118,septilsnna,,[],106,[]
119,septilsnna,Yang selalu meminta mengulur senja menanti datang.,[],142,[]
120,doonat.id,This is my first time doing endless tower after upgrade my job,[],5,"['@dhiyasalmas17 gg', 'endless towet', 'endless towet', 'Ngeriiiii ampunnn suhuuuuu']"
121,doonat.id,Mjolnir kw super,[],14,"['Siap, dah bawa mjolnir bawa pedang, bawa grrobak, bawa pet 3 biji ya?']"
122,doonat.id,"""Garudaku bukan burung perkutut""
.
.
.
.
#evosroar #indopride #indonesia #awc2019 #evos","['evosroar', 'indopride', 'indonesia', 'awc2019', 'evos']",61,"['ka coba main pakai enzo dong :)', '', '', 'merinding', 'Bisa ngalahin juara (abis itu vn juara)']"
123,doonat.id,#fruit #apple #manggo #green #red #fruits,"['fruit', 'apple', 'manggo', 'green', 'red', 'fruits']",9,[]
124,doonat.id,"Ini sunset atau sunrise ya?
.
.
Atau sunlight?
.
.
#jakarta #enjoyjakarta #urbancity #jktinfo #jict #moderncity #lightcity #indonesia #ibukota #georgopol #smartcity #city #sky #bluesky
#sunset #sunrise","['jakarta', 'enjoyjakarta', 'urbancity', 'jktinfo', 'jict', 'moderncity', 'lightcity', 'indonesia', 'ibukota', 'georgopol', 'smartcity', 'city', 'sky', 'bluesky', 'sunset', 'sunrise']",20,"['mama lemon', 'Itu langit']"
125,doonat.id,"Welcome to freeyork city
.
.
.
Georgopol nya Indonesia
.
.
.
#jakarta #enjoyjakarta #urbancity #jktinfo #jict #moderncity #lightcity #indonesia #ibukota #georgopol #smartcity #city #sky #bluesky","['jakarta', 'enjoyjakarta', 'urbancity', 'jktinfo', 'jict', 'moderncity', 'lightcity', 'indonesia', 'ibukota', 'georgopol', 'smartcity', 'city', 'sky', 'bluesky']",36,"['Mantep', 'Good night all......', 'Akhirnya bukan vidio game', 'This is great!']"
126,doonat.id,"Tank rasa Assassin?
.
This is how i play this tank :v
.
#aov #rov #maloch #tank #moba","['aov', 'rov', 'maloch', 'tank', 'moba']",10,[]
127,doonat.id,Keren sih :'),[],10,"['Game apa?', 'kaaa, line gua. wanya mati']"
128,doonat.id,"CALCULATED BROOO
.
Long time no c, butterfly :""
.
#bf #moba #aov #rov #esport #platinum #sword #gameplay","['bf', 'moba', 'aov', 'rov', 'esport', 'platinum', 'sword', 'gameplay']",11,[':3']
129,doonat.id,"""CALCULATED"" ",[],5,[]
130,doonat.id,"GA PERNAH BOSEN PAKE QUILLEN
.
GOOD GAME WELL PLAYED
.
@garenaaovid
.
#AOVMoment #AOVMoment05 #GarenaAOV","['aovmoment', 'aovmoment05', 'garenaaov']",8,[]
131,doonat.id,"TRIPLE KILL! QUILLEN
.
@garenaaovid
.
#AOVMoment #AOVMoment05 #GarenaAOV","['aovmoment', 'aovmoment05', 'garenaaov']",9,['Quadkill yg tercury ? Wkwk']
132,doonat.id,"Quillen, short gameplay
.
@garenaaovid
.
#AOVMoment #AOVMoment05 #GarenaAOV","['aovmoment', 'aovmoment05', 'garenaaov']",6,[]
133,doonat.id,"""LOH, KRIKNAKNYA TBTB MATI""
.
QUILLEN, GOOD GAME WELL PLAYED
.
@garenaaovid
.
#AOVMoment #AOVMoment05 #GarenaAOV
.
@mrizaf 
@dwikisulthon 
@aripurnamaaji78 
@faizaakmal","['aovmoment', 'aovmoment05', 'garenaaov']",7,"['Anjay ada cresht gua wkwkwk', 'Pendamping setia Quillen nya DonatSeres -Creshtnya Arnamaj']"
134,doonat.id,"SEKARAT MAJUIN RAZ???
.
QUILLEN SHORT GAMEPLAY
.
GOOD GAME, WELL PLAYED
.
PARTY WITH ""EPIC"" SQUAD
.
@garenaaovid
.
#AOVMoment #AOVMoment05 #GarenaAOV
.
#quillen #raz #moba #aov #ggwp","['aovmoment', 'aovmoment05', 'garenaaov', 'quillen', 'raz', 'moba', 'aov', 'ggwp']",11,['Untung skin ga nambah stat ya wkwk']
135,doonat.id,"EPIC COMEBACK!!! QUILLEN CUYYY!!!
.
INI SIH GILAAAAA!
.
@garenaaovid
.
#AOVMoment #AOVMoment05 #GarenaAOV .
IGN: DonatSeres
.
#epiccomeback #comeback #ggwp #glhf #gg #moba #aov #rov #esport","['aovmoment', 'aovmoment05', 'garenaaov', 'epiccomeback', 'comeback', 'ggwp', 'glhf', 'gg', 'moba', 'aov', 'rov', 'esport']",14,"['<3', 'Follow back ya']"
136,doonat.id,"Nice game, nice hero, well played
.
Darah setetes broooo:""
.
#AOVMoment #AOVMoment05 #GarenaAOV
.
@garenaaovid
.
In frame:
@mrizaf 
@dwikisulthon 
@aripurnamaaji78 
@faizaakmal","['aovmoment', 'aovmoment05', 'garenaaov']",8,['Temukan tips sukses dari buku pak Chandra..']
137,doonat.id,"PENTA KILL!!!
.
Quillen, new hero, nice hero, op hero
.
#AOVMoment #AOVMoment05 #GarenaAOV
.
@garenaaovid
.
In frame:
@dwikisulthon 
@mrizaf 
@aripurnamaaji78 
@faizaakmal
.
Our coach:
@pra.dyy
.
Thank you All
.
#quillen #moba #aov #rov #esport #pentakill #rampage","['aovmoment', 'aovmoment05', 'garenaaov', 'quillen', 'moba', 'aov', 'rov', 'esport', 'pentakill', 'rampage']",16,"[""MANTAP BOS'QQQQ "", 'Temukan tips sukses dari buku pak Chandra..']"
